LSOA11CD,LSOA_uprn_count,LSOA_A_count,LSOA_B_count,LSOA_C_count,LSOA_D_count,LSOA_E_count,LSOA_F_count,LSOA_G_count,LSOA_no epc_count,LSOA_A_percent,LSOA_B_percent,LSOA_C_percent,LSOA_D_percent,LSOA_E_percent,LSOA_F_percent,LSOA_G_percent,LSOA_no epc_percent
E01033650,803,,23.0,55,175,179,28.0,9.0,334,,2.9,6.8,21.8,22.3,3.5,1.1,41.6
E01009368,475,,4.0,59,107,87,8.0,3.0,207,,0.8,12.4,22.5,18.3,1.7,0.6,43.6
E01009339,481,,,45,145,88,7.0,1.0,195,,,9.4,30.1,18.3,1.5,0.2,40.5
E01009365,717,,11.0,138,138,56,14.0,3.0,357,,1.5,19.2,19.2,7.8,2.0,0.4,49.8
E01009338,459,,,19,124,133,8.0,7.0,168,,,4.1,27.0,29.0,1.7,1.5,36.6
E01009329,820,,8.0,46,173,148,23.0,7.0,415,,1.0,5.6,21.1,18.0,2.8,0.9,50.6
E01033561,4284,,1.0,134,110,40,9.0,1.0,3989,,0.0,3.1,2.6,0.9,0.2,0.0,93.1
E01009202,682,,50.0,151,154,41,7.0,3.0,276,,7.3,22.1,22.6,6.0,1.0,0.4,40.5
E01009483,576,,8.0,56,174,94,13.0,3.0,228,,1.4,9.7,30.2,16.3,2.3,0.5,39.6
E01009203,1243,,16.0,283,115,23,1.0,,805,,1.3,22.8,9.3,1.9,0.1,,64.8
E01033644,890,,1.0,115,297,156,17.0,2.0,302,,0.1,12.9,33.4,17.5,1.9,0.2,33.9
E01009344,499,,4.0,52,145,76,15.0,4.0,203,,0.8,10.4,29.1,15.2,3.0,0.8,40.7
E01009198,502,,4.0,43,159,99,10.0,6.0,181,,0.8,8.6,31.7,19.7,2.0,1.2,36.1
E01009379,774,,21.0,290,132,31,10.0,5.0,285,,2.7,37.5,17.1,4.0,1.3,0.6,36.8
E01009363,621,,21.0,128,119,57,19.0,,277,,3.4,20.6,19.2,9.2,3.1,,44.6
E01009380,527,,,29,143,115,18.0,4.0,218,,,5.5,27.1,21.8,3.4,0.8,41.4
E01009332,720,,28.0,140,130,53,6.0,1.0,362,,3.9,19.4,18.1,7.4,0.8,0.1,50.3
E01009201,731,3.0,7.0,196,139,28,3.0,1.0,354,0.4,1.0,26.8,19.0,3.8,0.4,0.1,48.4
E01009199,571,,15.0,208,153,36,2.0,1.0,156,,2.6,36.4,26.8,6.3,0.4,0.2,27.3
E01009200,666,,3.0,174,218,47,8.0,1.0,215,,0.5,26.1,32.7,7.1,1.2,0.2,32.3
E01009204,818,1.0,14.0,264,212,42,5.0,2.0,278,0.1,1.7,32.3,25.9,5.1,0.6,0.2,34.0
E01009482,502,,1.0,69,158,71,9.0,3.0,191,,0.2,13.7,31.5,14.1,1.8,0.6,38.0
E01009192,663,1.0,1.0,28,185,161,23.0,2.0,262,0.2,0.2,4.2,27.9,24.3,3.5,0.3,39.5
E01009479,650,,1.0,65,222,120,8.0,1.0,233,,0.2,10.0,34.2,18.5,1.2,0.2,35.8
E01009333,449,,,15,170,117,11.0,,136,,,3.3,37.9,26.1,2.4,,30.3
E01009194,1169,,114.0,147,200,141,16.0,3.0,548,,9.8,12.6,17.1,12.1,1.4,0.3,46.9
E01009400,665,,1.0,19,226,99,16.0,8.0,296,,0.2,2.9,34.0,14.9,2.4,1.2,44.5
E01008999,541,,1.0,43,140,93,21.0,2.0,241,,0.2,7.9,25.9,17.2,3.9,0.4,44.5
E01009102,665,,2.0,41,248,74,10.0,7.0,283,,0.3,6.2,37.3,11.1,1.5,1.1,42.6
E01009101,969,1.0,10.0,201,108,22,2.0,,625,0.1,1.0,20.7,11.1,2.3,0.2,,64.5
E01009096,827,3.0,11.0,193,178,22,2.0,1.0,417,0.4,1.3,23.3,21.5,2.7,0.2,0.1,50.4
E01009099,937,3.0,55.0,378,86,4,1.0,,410,0.3,5.9,40.3,9.2,0.4,0.1,,43.8
E01009103,742,2.0,8.0,223,73,7,1.0,1.0,427,0.3,1.1,30.1,9.8,0.9,0.1,0.1,57.5
E01009097,1483,,15.0,270,136,16,2.0,,1044,,1.0,18.2,9.2,1.1,0.1,,70.4
E01009106,602,,11.0,122,136,31,5.0,1.0,296,,1.8,20.3,22.6,5.1,0.8,0.2,49.2
E01009080,845,,1.0,87,130,59,4.0,2.0,562,,0.1,10.3,15.4,7.0,0.5,0.2,66.5
E01009079,741,1.0,4.0,53,220,132,18.0,4.0,309,0.1,0.5,7.2,29.7,17.8,2.4,0.5,41.7
E01008998,669,,,32,221,102,15.0,11.0,288,,,4.8,33.0,15.2,2.2,1.6,43.0
E01009104,696,,1.0,28,253,77,15.0,2.0,320,,0.1,4.0,36.4,11.1,2.2,0.3,46.0
E01010122,1252,,2.0,157,337,110,10.0,4.0,632,,0.2,12.5,26.9,8.8,0.8,0.3,50.5
E01010118,1034,2.0,4.0,202,264,50,2.0,2.0,508,0.2,0.4,19.5,25.5,4.8,0.2,0.2,49.1
E01010109,1411,2.0,148.0,169,224,156,30.0,16.0,666,0.1,10.5,12.0,15.9,11.1,2.1,1.1,47.2
E01010138,1240,,,36,334,176,42.0,8.0,644,,,2.9,26.9,14.2,3.4,0.6,51.9
E01010133,1461,,22.0,170,434,142,16.0,10.0,667,,1.5,11.6,29.7,9.7,1.1,0.7,45.7
E01009318,672,,25.0,23,170,110,10.0,4.0,330,,3.7,3.4,25.3,16.4,1.5,0.6,49.1
E01009319,663,,4.0,22,163,106,13.0,4.0,351,,0.6,3.3,24.6,16.0,2.0,0.6,52.9
E01009314,781,,94.0,49,200,75,22.0,12.0,329,,12.0,6.3,25.6,9.6,2.8,1.5,42.1
E01009317,887,,100.0,56,250,118,14.0,6.0,343,,11.3,6.3,28.2,13.3,1.6,0.7,38.7
E01009320,714,,,22,202,127,15.0,4.0,344,,,3.1,28.3,17.8,2.1,0.6,48.2
E01009315,944,,1.0,145,266,93,20.0,7.0,412,,0.1,15.4,28.2,9.9,2.1,0.7,43.6
